Fußnoten für Fahrplanbuch;Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;
Weingarten, Ev. Stadtkirche, Mast 22;;05:52;06:57;;07:57;07:57;08:57;08:57;09:57;09:57;10:57;10:57;11:57;11:57;12:57;12:57;13:57;13:57;14:57;14:57;15:57;;16:57;17:57;18:57;
Weingarten, Löwenplatz, Mast 22;;05:53;06:59;;07:59;07:59;08:59;08:59;09:59;09:59;10:59;10:59;11:59;11:59;12:59;12:59;13:59;13:59;14:59;14:59;15:59;;16:59;17:59;18:59;
Weingarten, Adolf-Gröber-Haus, Mast 1;;05:55;07:01;;08:01;08:01;09:01;09:01;10:01;10:01;11:01;11:01;12:01;12:01;13:01;13:01;14:01;14:01;15:01;15:01;16:01;;17:01;18:01;19:01;
Weingarten, Haslachstraße, Mast 1;;05:56;07:02;;08:02;08:02;09:02;09:02;10:02;10:02;11:02;11:02;12:02;12:02;13:02;13:02;14:02;14:02;15:02;15:02;16:02;;17:02;18:02;19:02;
Weingarten, Vintschgaustraße, Mast 1;;05:57;07:03;;08:03;08:03;09:03;09:03;10:03;10:03;11:03;11:03;12:03;12:03;13:03;13:03;14:03;14:03;15:03;15:03;16:03;;17:03;18:03;19:03;
Weingarten, Reschenstraße, Mast 1;;05:58;07:04;;08:04;08:04;09:04;09:04;10:04;10:04;11:04;11:04;12:04;12:04;13:04;13:04;14:04;14:04;15:04;15:04;16:04;;17:04;18:04;19:04;
Weingarten, Kreuzbergweiher, Mast 1;;05:59;07:05;;08:05;08:05;09:05;09:05;10:05;10:05;11:05;11:05;12:05;12:05;13:05;13:05;14:05;14:05;15:05;15:05;16:05;;17:05;18:05;19:05;
Weingarten, Altdorfstraße, Mast 1;;06:00;07:06;;08:06;08:06;09:06;09:06;10:06;10:06;11:06;11:06;12:06;12:06;13:06;13:06;14:06;14:06;15:06;15:06;16:06;;17:06;18:06;19:06;
Weingarten, Lammstraße, Mast 1;;06:01;07:07;;08:07;08:07;09:07;09:07;10:07;10:07;11:07;11:07;12:07;12:07;13:07;13:07;14:07;14:07;15:07;15:07;16:07;;17:07;18:07;19:07;
Weingarten, Löwenplatz, Mast 1;05:03;06:03;07:09;07:09;08:09;08:09;09:09;09:09;10:09;10:09;11:09;11:09;12:09;12:09;13:09;13:09;14:09;14:09;15:09;15:09;16:09;;17:09;18:09;19:09;
Weingarten, Ev. Stadtkirche, Mast 1;05:04;06:04;07:10;07:10;08:10;08:10;09:10;09:10;10:10;10:10;11:10;11:10;12:10;12:10;13:10;13:10;14:10;14:10;15:10;15:10;16:10;;17:10;18:10;19:10;
Weingarten, Charlottenplatz, Mast 4;05:05;06:05;07:11;07:11;08:11;08:11;09:11;09:11;10:11;10:11;11:11;11:11;12:11;12:11;13:11;13:11;14:11;14:11;15:11;15:11;16:11;;17:11;18:11;19:11;
Weingarten, Blumenau, Mast 2;05:06;06:06;07:12;07:12;08:12;08:12;09:12;09:12;10:12;10:12;11:12;11:12;12:12;12:12;13:12;13:12;14:12;14:12;15:12;15:12;16:12;;17:12;18:12;19:12;
Weingarten, Alemannenstraße, Mast 2;05:07;06:07;07:13;07:13;08:13;08:13;09:13;09:13;10:13;10:13;11:13;11:13;12:13;12:13;13:13;13:13;14:13;14:13;15:13;15:13;16:13;;17:13;18:13;19:13;
Weingarten, Ettishofer Straße, Mast 2;05:08;06:08;07:15;07:15;08:15;08:15;09:15;09:15;10:15;10:15;11:15;11:15;12:15;12:15;13:15;13:15;14:15;14:15;15:15;15:15;16:15;;17:15;18:15;19:15;
Weingarten, Lindenhofstadion, Mast 2;05:09;06:09;07:16;07:16;08:16;08:16;09:16;09:16;10:16;10:16;11:16;11:16;12:16;12:16;13:16;13:16;14:16;14:16;15:16;15:16;16:16;;17:16;18:16;19:16;
Weingarten, BOB-Bahnhof, Mast 1;05:12;06:12;07:19;07:19;08:19;08:19;09:19;09:19;10:19;10:19;11:19;11:19;12:19;12:19;13:19;13:19;14:19;14:19;15:19;15:19;16:19;;17:19;18:19;19:19;
