Ravensburg, Bahnhof, Mast 5;ab;-;-;-;-;-;-;-;-;07:57;07:57;-;-;08:27;08:27;08:57;09:27;09:57;09:57;10:27;-;11:27;11:57;11:57;11:57;12:30;12:57;12:57;-;13:27;13:27;13:57;13:57;14:57;15:27;15:27;15:27;15:57;15:57;16:27;16:27;16:57;17:27;17:57;17:57;18:27;18:27;18:57;19:32;-;-;-;-;-;-;-
Berg, Rafi, Mast 1;;05:11;05:50;06:11;06:21;06:29;06:52;07:21;07:21;08:01;08:01;08:01;08:31;08:31;08:31;09:01;09:31;10:01;10:01;10:31;11:01;11:31;12:01;12:01;12:01;12:34;13:01;13:01;13:02;13:31;13:31;14:01;14:01;15:01;15:31;15:31;15:31;16:01;16:01;16:31;16:31;17:01;17:31;18:01;18:01;18:31;18:31;19:01;19:36;20:31;22:30;22:30;23:54;23:54;01:38;01:38
Berg, Groﬂtoblerstraﬂe, Mast 1;;-;;-;-;-;-;-;-;08:02;08:02;08:02;-;08:32;08:32;09:02;09:32;10:02;10:02;10:32;11:02;11:32;12:02;12:02;12:02;12:35;13:02;13:02;13:03;13:32;13:32;14:02;14:02;15:02;15:32;15:32;15:32;16:02;16:02;16:32;16:32;17:02;17:32;18:02;18:02;18:32;18:32;19:02;19:37;20:32;22:31;22:31;23:55;23:55;01:39;01:39
Berg, KiGa Panoramastraﬂe, Mast 1;;-;;-;-;-;-;-;-;08:03;08:03;08:03;-;08:33;08:33;09:03;09:33;10:03;10:03;10:33;11:03;11:33;12:03;12:03;12:03;12:36;13:03;13:03;13:04;13:33;13:33;14:03;14:03;15:03;15:33;15:33;15:33;16:03;16:03;16:33;16:33;17:03;17:33;18:03;18:03;18:33;18:33;19:03;19:38;20:33;22:32;22:32;23:56;23:56;01:40;01:40
Berg, Wilhelm-Gindele-Straﬂe, Mast 1;;-;;-;-;-;-;-;-;08:04;08:04;08:04;-;08:34;08:34;09:04;09:34;10:04;10:04;10:34;11:04;11:34;12:04;12:04;12:04;12:37;13:04;13:04;13:05;13:34;13:34;14:04;14:04;15:04;15:34;15:34;15:34;16:04;16:04;16:34;16:34;17:04;17:34;18:04;18:04;18:34;18:34;19:04;19:39;20:34;22:33;22:33;23:57;23:57;01:41;01:41
Berg, Kasernen, Mast 1;;05:13;;-;-;06:30;06:53;07:26;07:26;08:06;08:06;08:06;-;08:36;08:36;09:06;09:36;10:06;10:06;10:36;11:06;11:36;12:06;12:06;12:06;12:39;13:06;13:06;13:07;13:36;13:36;14:06;14:06;15:06;15:36;15:36;15:36;16:06;16:06;16:36;16:36;17:06;17:36;18:06;18:06;18:36;18:36;19:06;19:41;20:36;22:35;22:35;23:59;23:59;01:43;01:43
Berg, Ettishofen, Mast 1;;05:14;;06:14;06:24;06:32;06:55;07:28;07:28;08:08;08:08;08:09;08:34;08:38;08:38;09:08;09:38;10:08;10:08;10:38;11:08;11:38;12:08;12:08;12:08;12:41;13:08;13:08;13:09;13:38;13:38;14:08;14:08;15:08;15:38;15:38;15:38;16:08;16:08;16:38;16:38;17:08;17:38;18:08;18:08;18:38;18:38;19:08;19:43;20:38;22:37;22:37;00:01;00:01;01:45;01:45
Berg, Weiler, Mast 1;;-;;-;-;;;07:30;07:30;08:10;08:10;08:10;-;08:40;08:40;09:10;09:40;10:10;10:10;10:40;11:10;11:40;12:10;12:10;12:10;12:43;13:10;13:10;13:11;13:40;13:40;14:10;14:10;15:10;15:40;15:40;15:40;16:10;16:10;16:40;16:40;17:10;17:40;18:10;18:10;18:40;18:40;19:10;19:45;-;-;-;-;-;-;-
Berg, Weilerhalde, Mast 1;;-;;-;-;;;;;08:11;08:11;08:11;-;08:41;08:41;09:11;09:41;;;10:41;11:11;11:41;12:11;12:11;12:11;12:44;13:11;13:11;13:12;13:41;13:41;;;15:11;15:41;15:41;15:41;16:11;16:11;16:41;16:41;17:11;17:41;18:11;18:11;18:41;18:41;19:11;19:46;20:38;22:38;22:38;00:02;00:02;01:46;01:46
Berg, Weiler, Mast 1;;-;;-;-;;;;;;;;-;-;;-;;;;;-;;;-;;-;-;-;-;-;-;;;;-;;-;;-;-;-;;-;;;-;-;;-;20:41;22:40;22:40;00:04;00:04;01:48;01:48
Fronreute Staig, Mast 1;;-;;-;-;;;;;;;;-;-;;-;;;;;-;;;-;;-;-;-;-;-;-;;;;-;;-;;-;-;-;;-;;;-;-;;-;20:46;22:45;22:45;00:09;00:09;01:53;01:53
Fronreute Blitzenreute, Engel, Mast 1;;-;;-;-;;;;;;;;-;-;;-;;;;;-;;;-;;-;-;-;-;-;-;;;;-;;-;;-;-;-;;-;;;-;-;;-;20:49;22:48;22:48;00:12;00:12;01:56;01:56
Fronreute Baienbach, Blitzenreuter Str., Mast 2;;-;;-;-;;;;;;;;-;-;;-;;;;;-;;;-;;-;-;-;-;-;-;;;;-;;-;;-;-;-;;-;;;-;-;;-;-;22:51;22:51;00:15;00:15;01:59;01:59
Berg, Abzw. Kernen, Mast 1;;05:16;;06:16;06:26;;;;;;;;-;08:43;;09:13;;;;;11:13;;;12:13;;12:46;13:13;13:13;13:14;13:43;13:43;;;;15:43;;15:43;;16:13;16:43;16:43;;17:43;;;18:43;18:43;;19:48;-;-;-;-;-;-;-
Berg, Bachmaier, Mast 1;;05:17;;06:17;06:27;;;;;;;;-;08:44;;09:14;;;;;11:14;;;12:14;;12:47;13:14;13:14;13:15;13:44;13:44;;;;15:44;;15:44;;16:14;16:44;16:44;;17:44;;;18:44;18:44;;19:49;-;-;-;-;-;-;-
Berg, Aichach1;;05:17;;06:18;06:27;;;;;;;;-;08:45;;09:15;;;;;11:15;;;12:15;;12:48;13:15;13:15;13:16;13:45;13:45;;;;15:45;;15:45;;16:15;16:45;16:45;;17:45;;;18:45;18:45;;19:50;-;-;-;-;-;-;-
Berg, Dietenhofen, Mast 1;;05:19;;06:20;06:29;;;;;;;;-;08:47;;09:17;;;;;11:17;;;12:17;;12:50;13:17;13:17;13:18;13:47;13:47;;;;15:47;;15:47;;16:17;16:47;16:47;;17:47;;;18:47;18:47;;19:52;-;-;-;-;-;-;-
Fronreute, Baienbach1;;05:21;;06:22;06:31;;;;;;;;-;08:49;;09:19;;;;;11:19;;;12:19;;12:52;13:19;13:19;13:20;13:49;13:49;;;;15:49;;15:49;;16:19;16:49;16:49;;17:49;;;18:49;18:49;;19:54;20:52;-;-;-;-;-;-
Fronreute, Geratsreute1;;05:23;;06:24;06:33;;;;;;;;-;08:51;;09:21;;;;;11:21;;;12:21;;12:54;13:21;;13:22;13:51;13:51;;;;15:51;;15:51;;16:21;16:51;16:51;;17:51;;;18:51;18:51;;19:56;20:54;22:53;22:53;00:17;00:17;02:01;02:01
Fronreute, Bettenreute1;;05:24;;06:25;06:34;;;;;;;;-;08:52;;09:22;;;;;11:22;;;12:22;;12:55;13:22;;13:23;13:52;13:52;;;;15:52;;15:52;;16:22;16:52;16:52;;17:52;;;18:52;18:52;;19:57;20:55;22:54;22:54;00:18;00:18;02:02;02:02
Fronhofen, Kirche, Mast 1;;05:25;;06:26;06:35;;;;;;;;-;08:53;;09:23;;;;;11:23;;;12:23;;12:56;13:23;;13:24;13:53;13:53;;;;15:53;;15:53;;16:23;16:53;16:53;;17:53;;;18:53;18:53;;19:58;20:56;22:55;22:55;00:19;00:19;02:03;02:03
Fronhofen, Rathaus, Mast 1;;-;;-;-;;;;;;;;-;-;;-;;;;;-;;;-;;-;-;;-;-;-;;;;-;;-;;-;-;-;;-;;;-;-;;-;20:57;-;-;-;-;;
Fronhofen, Feldmoos, Mast 2;;05:28;;06:28;-;;;;;;;;-;-;;-;;;;;-;;;-;;-;-;;-;-;-;;;;-;;-;;-;-;-;;-;;;-;-;;-;;-;-;-;-;;
Fronreute, Obelhofen2;;-;;06:29;-;;;;;;;;-;-;;-;;;;;-;;;-;;-;-;;-;-;-;;;;-;;-;;-;-;-;;-;;;-;-;;-;;-;-;-;-;;
Fleischwangen, Bachstraﬂe, Mast 2;;-;;06:32;-;;;;;;;;-;-;;-;;;;;-;;;-;;-;-;;-;-;-;;;;-;;-;;-;-;-;;-;;;-;-;;-;;-;-;-;-;;
Fleischwangen, Kirche, Mast 2;;-;;06:34;-;;;;;;;;-;-;;-;;;;;-;;;-;;-;-;;-;-;-;;;;-;;-;;-;-;-;;-;;;-;-;;-;;-;-;-;-;;
Fronreute, Reute-Fronhofen1;;-;;;-;;;;;;;;-;08:55;;09:25;;;;;11:25;;;12:25;;12:58;13:25;;13:26;13:55;13:55;;;;15:55;;15:55;;16:25;16:55;16:55;;17:55;;;18:55;18:55;;20:00;;22:57;22:57;00:21;00:21;;
Fronreute, Ruprechtsbruck1;;-;;;-;;;;;;;;-;08:57;;09:27;;;;;11:27;;;12:27;;13:00;13:27;;13:28;13:57;13:57;;;;15:57;;15:57;;16:27;16:57;16:57;;17:57;;;18:57;18:57;;20:02;;22:59;22:59;00:23;00:23;;
Ebenweiler, Kornstr., Mast 1;;-;;;-;;;;;;;;-;08:59;;09:29;;;;;11:29;;;12:29;;13:02;13:29;;13:30;13:59;13:59;;;;15:59;;15:59;;16:29;16:59;16:59;;17:59;;;18:59;18:59;;20:04;;23:01;23:01;00:25;00:25;;
Fleischwangen, Kirche, Mast 1;;05:36;;;06:46;;;;;;;;08:46;09:04;;09:34;;;;;11:34;;;12:34;;13:07;13:34;;13:35;14:04;14:04;;;;16:04;;16:04;;16:34;17:04;17:04;;18:04;;;19:04;19:04;;20:09;;23:06;23:06;00:30;00:30;;
Fleischwangen, Bachstraﬂe, Mast 1;;;;;;;;;;;;;;;;;;;;;;;;;;13:08;;;13:36;14:05;;;;;;;16:05;;;17:05;;;;;;;;;;;;;;;;
Fronreute, Obelhofen1;;;;;;;;;;;;;;;;;;;;;;;;;;13:09;;;13:37;14:06;;;;;;;16:06;;;17:06;;;;;;;;;;;;;;;;
Fronhofen, Feldmoos, Mast 1;;;;;;;;;;;;;;;;;;;;;;;;;;13:10;;;13:38;14:07;;;;;;;16:07;;;17:07;;;;;;;;;;;;;;;;
