Berg, Brunnenplatz, Mast 2;06:06;06:24;06:43;07:06;07:06;07:06;07:16;-;07:31;07:46;08:16;08:16;08:36;08:46;09:16;09:21;09:46;09:46;10:16;10:16;10:46;11:46;12:16;13:06;13:06;13:16;13:46;14:21;14:46;15:16;15:46;15:46;16:16;16:46;17:16;17:16;17:46;18:16;18:16;18:46;19:16;19:46;19:46;20:46;21:19;23:39;23:39;01:23;01:23;02:25;02:25
Berg, Rafi, Mast 2;06:07;06:25;06:44;07:07;07:07;07:07;07:17;-;07:32;07:47;08:17;08:17;08:37;08:47;09:17;09:22;09:47;09:47;10:17;10:17;10:47;11:47;12:17;13:07;13:07;13:17;13:47;14:22;14:47;15:17;15:47;15:47;16:17;16:47;17:17;17:17;17:47;18:17;18:17;18:47;19:17;19:47;19:47;20:47;21:20;23:40;23:40;01:24;01:24;02:26;02:26
Ravensburg, Polizeipr‰sidium, Mast 1;06:11;-;-;07:11;-;07:11;07:21;-;-;07:51;08:21;08:21;08:41;08:51;09:21;09:26;09:51;09:51;10:21;10:21;10:51;11:51;12:21;13:11;13:11;13:21;13:51;14:26;14:51;15:21;15:51;15:51;16:21;16:51;17:21;17:21;17:51;18:21;18:21;18:51;19:21;19:51;19:51;20:51;21:24;23:44;23:44;01:28;01:28;02:30;02:30
Ravensburg, Frauentor, Mast 1;06:14;-;-;07:14;-;07:14;07:24;-;-;07:54;08:24;08:24;08:44;08:54;09:24;09:29;09:54;09:54;10:24;10:24;10:54;11:54;12:24;;13:14;13:24;13:54;14:29;14:54;15:24;15:54;15:54;16:24;16:54;17:24;17:24;17:54;18:24;18:24;18:54;19:24;19:54;19:54;20:54;21:27;23:47;23:47;01:31;01:31;02:33;02:33
Ravensburg, Bahnhof, Mast 5;06:17;06:29;06:46;07:17;-;;07:27;-;-;07:57;08:27;08:27;08:47;08:57;09:27;09:32;09:57;09:57;10:27;10:27;10:57;11:57;12:27;;13:17;13:27;13:57;14:32;14:57;15:27;15:57;15:57;16:27;16:57;17:27;17:27;17:57;18:27;18:27;18:57;19:27;19:57;19:57;20:57;21:30;23:50;23:50;01:34;01:34;02:36;02:36
Ravensburg, Polizeipr‰sidium, Mast 3;;;;;-;;;-;07:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RV, Bildungszentrum St.Konrad, Mast 2;;;;;-;;;07:40;07:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ravensburg, Frauentor, Mast 1;;;;;-;;;07:45;07:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ravensburg, Bahnhof, Mast 5;;;;;-;;;;07:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weingarten, Schulzentrum, Mast 2;;;;;07:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
